WKT,@id,barrier,name,bicycle,foot,horse,motor_vehicle,name:zh,addr:city,source,operator,description,maxheight,note:name:zh,payment:contactless
"POINT (103.853625 1.28607)",node/237315619,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.853787 1.285989)",node/240002122,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.842778 1.287787)",node/243208170,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.860749 1.285435)",node/248536071,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.874368 1.294669)",node/366653011,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.826333 1.253246)",node/367333065,toll_booth,Sentosa,yes,yes,no,yes,圣淘沙,,,,,,,
"POINT (103.853496 1.30271)",node/599995171,toll_booth,ERP,,,,,,Singapore,onemotoring.lta.gov.sg,,,,,
"POINT (103.860883 1.285429)",node/967524566,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.821399 1.256428)",node/1110009979,toll_booth,,,,,,,,,Universal Studios,,,,
"POINT (103.843077 1.273103)",node/1318603877,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.862452 1.29613)",node/1538307391,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.856424 1.29956)",node/1683149221,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.874491 1.316923)",node/1718016147,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.876537 1.319766)",node/1718016163,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.874821 1.316352)",node/1718044802,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.837529 1.305659)",node/1729345579,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.823258 1.257711)",node/1769192204,toll_booth,,,,,,,,,,,,,
"POINT (103.844376 1.273352)",node/1951506220,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.847742 1.289298)",node/1951506228,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.847609 1.289409)",node/1951506232,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.842472 1.29)",node/1951506235,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.846339 1.297766)",node/1951506238,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.843702 1.297774)",node/1951506254,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.857654 1.297948)",node/1951506260,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.847961 1.298048)",node/1951506266,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.848049 1.298726)",node/1951506270,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.841413 1.299269)",node/1951506272,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.855682 1.300357)",node/1951506279,toll_booth,ERP,yes,,,yes,,,,,,,,
"POINT (103.84319 1.300569)",node/1951506282,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.834949 1.300614)",node/1951506283,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.832603 1.303495)",node/1951506287,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.832326 1.304762)",node/1951506304,toll_booth,ERP,yes,no,designated,yes,,,,,Cars / Light Vehicles (Weekdays): 07:00 - 12:00 $0.00 12:00 - 17:30 $0.50 17:30 - 17:35 $1.00 17:35 - 18:00 $1.50 18:00 - 18:55 $2.00 18:55 - 19:00 $1.50 19:00 - 19:55 $1.00 19:55 - 20:00 $0.50 20:00 - 22:30 $0.00,,,
"POINT (103.849025 1.288565)",node/1951528000,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.844492 1.288625)",node/1951528020,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.828318 1.327608)",node/2577921993,toll_booth,ERP,,,,,,,Kaart Ground Survey 2017,,,,,
"POINT (103.86221 1.332694)",node/2577956432,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.862494 1.333462)",node/2577956434,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.862351 1.33346)",node/2577956435,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.856436 1.270759)",node/2598074225,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.856466 1.27104)",node/2598074232,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.860556 1.274412)",node/2598074244,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.867029 1.27496)",node/2598074249,toll_booth,ERP,,,,,,,,Central Boulevard,,,,
"POINT (103.866198 1.275113)",node/2598074256,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.87536 1.293859)",node/2598074261,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.870542 1.326304)",node/2706536614,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.899 1.342264)",node/2706536618,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.787768 1.353571)",node/3669809871,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.796795 1.286732)",node/3669827283,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.860565 1.326092)",node/3669850879,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.870511 1.313633)",node/3669869068,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.871762 1.320148)",node/3669869069,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.872848 1.321935)",node/3669869070,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.826085 1.253243)",node/4279953351,toll_booth,Sentosa,,,,,圣淘沙,,,,,4.5,,
"POINT (103.826175 1.253244)",node/4279953355,toll_booth,Sentosa,,,,,圣淘沙,,,,,4.5,,
"POINT (103.826257 1.253245)",node/4279953360,toll_booth,Sentosa,,,,,圣淘沙,,,,,4.5,,
"POINT (103.868474 1.327251)",node/4368091561,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.83976 1.299488)",node/4598515874,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.841871 1.273502)",node/4600816515,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.854952 1.301333)",node/4732458841,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.837245 1.33639)",node/4749101771,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.853419 1.340882)",node/4749650031,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.864615 1.329027)",node/5278661393,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.85944 1.346691)",node/5282774369,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.850063 1.274638)",node/5917079161,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.8615 1.284337)",node/5917086938,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.840278 1.280698)",node/5917124810,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.776743 1.301062)",node/5917129167,toll_booth,ERP,,,,,ERP,,,,,,-,
"POINT (103.760864 1.315162)",node/5917139885,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.758693 1.316426)",node/5917141886,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.769688 1.353123)",node/5917143815,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.819852 1.330706)",node/5917148405,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.825206 1.321161)",node/5917152379,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.823623 1.32159)",node/5917152380,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.859351 1.346665)",node/5917155372,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.861827 1.333168)",node/5917158929,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.861882 1.333141)",node/5917158930,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.851643 1.318349)",node/5917161068,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.864611 1.329096)",node/5917161185,toll_booth,ERP,,,,yes,,,,,,,,
"POINT (103.841982 1.301601)",node/5917166161,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.843915 1.292958)",node/5917173965,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.841657 1.288406)",node/5917177605,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.872146 1.295494)",node/5917182550,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.872149 1.295403)",node/5917182551,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.876767 1.295369)",node/5917182554,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.85968 1.296003)",node/5917183421,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.862079 1.299735)",node/5917184620,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.766389 1.308834)",node/5918681674,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.888245 1.335145)",node/5918701564,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.89896 1.344636)",node/5918705718,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.897136 1.339147)",node/5918705719,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.911657 1.328562)",node/5918708421,toll_booth,ERP,,,,,,,,,,,,yes
"POINT (103.870409 1.326225)",node/5918710354,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.873932 1.322594)",node/5918713901,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.874988 1.315745)",node/5918725989,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.874912 1.318267)",node/5918725990,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.870977 1.310074)",node/5918769053,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.875794 1.310021)",node/5918775757,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.874426 1.307088)",node/5918775838,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.903339 1.359415)",node/5918819558,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.903098 1.359344)",node/5918819561,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.891766 1.334266)",node/5919085193,toll_booth,ERP,,,,,,,,,,,,
"POINT (103.868102 1.325879)",node/5925919172,toll_booth,ERP,,,,,,,,,,,,
